policy,turns_per_program,think_mean_s,n_programs,n_completed,p50_program_s,p99_program_s,p99_slowdown,mean_queue_s,p99_queue_s,p99_service_s,total_queue_s,n_turns_scored,slo_attain,gpu_seconds,recomputed_tokens,useful_prefill_tokens,waste_ratio,kv_kills,kills_evict,kills_scalein,evicted_tokens,scalein_tokens,scale_events,scale_ins,mean_replicas,max_replicas,unfinished_turns,goodput,admission_batch,load_multiplier,static_ref_n,static_ref_gpu_s,gpu_vs_static,p1_safe_observed,capacity_only_bound
pressure-aware,8,8.0,3744,3247,61.0,132.26999999999998,2.468410409434238,0.02492685555897752,1.0,8.5,647.5,25976,0.9944949183862026,32196.5,6262416,24619324,0.2543699412705239,129,0,129,0,485299,15,5,14.199117971334068,31,0,1.0,4,4,8,18156.0,1.773325622383785,8,14
pressure-aware,8,8.0,3744,3247,61.5,132.0,1.8103743702377835,0.010836926393594086,0.0,9.0,281.5,25976,0.996997228210656,25958.0,3222975,21579883,0.1493509024122142,133,0,133,0,466617,19,10,11.447850055126791,21,0,1.0,6,4,8,18156.0,1.4297202026878166,8,14
pressure-aware,8,8.0,3744,3247,61.0,132.53999999999996,1.8262593929748576,0.0027140437326763165,0.0,9.0,70.5,25976,0.999461040960887,25210.5,2364637,20721545,0.11411489828581797,153,0,153,0,536294,22,12,11.11574074074074,16,0,1.0,8,4,8,18156.0,1.3885492399206874,8,14
pressure-aware,8,8.0,3744,3247,61.0,132.0,1.760247733469044,5.774561133353865e-05,0.0,9.0,1.5,25976,1.0,25533.5,1580076,19936984,0.0792535119655009,66,0,66,0,265935,15,8,11.2606394707828,13,0,1.0,10,4,8,18156.0,1.406339502092972,8,14
pressure-aware,8,8.0,3744,3247,61.0,131.76999999999998,1.7634105730186707,0.0,0.0,9.0,0.0,25976,1.0,25450.5,2053103,20410011,0.10059293941585823,134,0,134,0,510962,22,12,11.221560846560847,12,0,1.0,12,4,8,18156.0,1.4017680105750165,8,14
pressure-aware,8,8.0,3744,3247,61.0,132.26999999999998,1.7608914264581397,0.0011741607637819527,0.0,9.0,30.5,25976,0.999576532183554,25516.5,2716008,21072916,0.128886196860463,133,0,133,0,509193,23,11,11.255624172915748,12,0,1.0,14,4,8,18156.0,1.405403172504957,8,14
pressure-aware,8,8.0,3744,3247,61.0,132.26999999999998,1.7703137594423086,0.00017323683400061594,0.0,8.5,4.5,25976,1.0,27143.5,2818738,21175646,0.13311225546554756,173,0,173,0,668412,30,15,11.968033509700176,17,0,1.0,16,4,8,18156.0,1.4950154218990968,8,14
pressure-aware,8,8.0,7488,6552,63.5,135.5,9.056423232489468,0.28712606837606836,3.5,8.5,15050.0,52416,0.9222756410256411,85647.5,17673646,54387462,0.32495809420193206,816,0,816,0,3103821,30,17,37.74680475980608,59,0,1.0,4,8,14,31759.0,2.696794609402059,8,14
pressure-aware,8,8.0,7488,6552,61.0,132.0,1.6927513333723494,0.0,0.0,9.0,0.0,52416,1.0,46753.0,4975774,41689590,0.11935291280149313,93,0,93,0,378834,9,4,20.614197530864196,34,0,1.0,6,8,14,31759.0,1.4721181397399163,8,14
pressure-aware,8,8.0,7488,6552,61.0,132.0,1.7748770495976833,0.0,0.0,9.0,0.0,52416,1.0,46402.0,3036093,39749909,0.07637987297027522,72,0,72,0,274244,12,6,20.463947078280043,26,0,1.0,8,8,14,31759.0,1.4610661544758965,8,14
pressure-aware,8,8.0,7488,6552,61.0,131.5,1.792991207629255,0.0,0.0,9.0,0.0,52416,1.0,45549.0,3325396,40039212,0.08305348267093768,18,0,18,0,63529,7,3,20.087761852260197,21,0,1.0,10,8,14,31759.0,1.4342076261847037,8,14
pressure-aware,8,8.0,7488,6552,61.0,132.0,1.8257619780880554,0.01211462148962149,0.0,9.0,635.0,52416,0.9979204822954822,46564.0,4181504,40895320,0.10224896149486054,61,0,61,0,270302,13,5,20.530864197530864,23,0,1.0,12,8,14,31759.0,1.466167070751598,8,14
pressure-aware,8,8.0,7488,6552,61.5,133.7449999999999,1.852844120544491,0.043593559218559216,0.0,9.0,2285.0,52416,0.9968711843711844,52903.0,4491140,41204956,0.10899514126407513,154,0,154,0,501427,12,4,23.325837742504408,47,0,1.0,14,8,14,31759.0,1.6657640353915426,8,14
pressure-aware,8,8.0,7488,6552,61.0,135.0,1.8347682338310591,0.04744734432234432,0.0,8.5,2487.0,52416,0.9969093406593407,53259.5,4488131,41201947,0.10893007070758089,188,0,188,0,567035,21,8,23.488202866593163,45,0,1.0,16,8,14,31759.0,1.676989199911836,8,14
pressure-aware,64,8.0,468,405,542.5,694.4399999999999,1.2460171784235279,0.007368827160493827,0.0,8.0,191.0,25920,0.9992283950617284,58249.0,6477036,14471981,0.44755697233156955,77,0,77,0,622333,36,19,21.15837268434435,24,0,1.0,4,4,12,39762.0,1.464941401337961,8,14
pressure-aware,64,8.0,468,405,542.5,692.9,1.258141554829606,0.00623070987654321,0.0,8.0,161.5,25920,0.9995756172839506,58371.0,6594651,14586172,0.45211663485114534,38,0,38,0,424571,41,18,21.194989106753813,25,0,1.0,6,4,12,39762.0,1.4680096574618984,8,14
pressure-aware,64,8.0,468,405,545.5,691.4399999999999,1.2858957385519896,0.022935956790123457,0.0,8.0,594.5,25920,0.997608024691358,59005.0,7946329,15942472,0.498437695233211,60,0,60,0,824557,54,23,21.429090248774287,29,0,1.0,8,4,12,39762.0,1.4839545294502288,8,14
pressure-aware,64,8.0,468,405,547.5,701.3,1.32486381118976,0.047955246913580246,0.0,8.5,1243.0,25920,0.9951003086419753,59227.5,8280494,16276203,0.5087485084819844,113,0,113,0,1071055,66,29,21.513803123864875,30,0,1.0,10,4,12,39762.0,1.4895503244303607,8,14
pressure-aware,64,8.0,468,405,548.0,695.42,1.32486381118976,0.04741512345679012,0.0,8.5,1229.0,25920,0.9951003086419753,59508.0,7911085,15914394,0.4971024972738516,60,0,60,0,749200,55,23,21.61569197239375,31,0,1.0,12,4,12,39762.0,1.4966047985513806,8,14
pressure-aware,64,8.0,468,405,547.0,694.9,1.3207640917557353,0.039544753086419755,0.0,8.405000000000655,1025.0,25920,0.9954861111111111,59514.5,7795288,15808507,0.4931071605939764,66,0,66,0,712058,56,23,21.61805303305485,31,0,1.0,14,4,12,39762.0,1.4967682712137216,8,14
pressure-aware,64,8.0,468,405,546.0,697.0,1.3109918395786646,0.0402391975308642,0.0,8.0,1043.0,25920,0.9959876543209877,59722.5,7814189,15810633,0.494236315522598,53,0,53,0,808362,61,27,21.693606974209953,31,0,1.0,16,4,12,39762.0,1.5019993964086313,8,14
pressure-aware,64,8.0,936,819,544.0,701.1499999999995,1.25762272084096,0.010235424297924298,0.0,8.5,536.5,52416,0.9989888583638583,114339.0,14170891,30175714,0.4696124505952038,154,0,154,0,1493555,40,21,41.547601744186046,48,0,1.0,4,8,24,87720.0,1.303454172366621,8,14
pressure-aware,64,8.0,936,819,545.0,708.2799999999997,1.2825591709513482,0.018610729548229548,0.0,8.5,975.5,52416,0.9980540293040293,114420.0,14602106,30587751,0.4773841005832694,133,0,133,0,960386,43,19,41.539299328371754,50,0,1.0,6,8,24,87720.0,1.3043775649794802,8,14
pressure-aware,64,8.0,936,819,548.5,736.3699999999998,2.4819590789749384,0.08683417277167277,2.0,8.5,4551.5,52416,0.9907471001221001,117084.0,18387032,34386130,0.5347223429912003,237,0,237,0,2001621,76,35,42.506444000726084,59,0,1.0,8,8,24,87720.0,1.3347469220246237,8,14
pressure-aware,64,8.0,936,819,550.5,738.5099999999996,5.309078773450407,0.1282051282051282,4.5,8.5,6720.0,52416,0.9872748778998779,118827.0,18812142,34809525,0.5404308734462766,271,0,271,0,2214771,81,36,43.154893771563465,64,0,1.0,10,8,24,87720.0,1.3546169630642955,8,14
pressure-aware,64,8.0,936,819,550.5,735.5499999999998,2.685014992124906,0.10152434371184371,2.5,8.5,5321.5,52416,0.9904990842490843,118310.5,17922504,33916916,0.5284237517349749,170,0,170,0,1550594,76,33,42.99073401162791,64,0,1.0,12,8,24,87720.0,1.3487289101687185,8,14
pressure-aware,64,8.0,936,819,550.0,746.8699999999998,5.906763644355988,0.13480616605616605,5.0,8.5,7066.0,52416,0.9862637362637363,119081.0,17690062,33688050,0.5251138608497672,121,0,121,0,1174378,72,28,43.254994551398475,64,0,1.0,14,8,24,87720.0,1.3575125398996808,8,14
pressure-aware,64,8.0,936,819,550.5,746.9599999999998,5.215816834786482,0.11682501526251526,4.0,8.5,6123.5,52416,0.986893315018315,119082.0,17823999,33824848,0.5269498624206678,127,0,127,0,1176428,73,31,43.25535779150018,64,0,1.0,16,8,24,87720.0,1.3575239398084815,8,14
