t,gpu,running,waiting,kv
0.015739943832159042,0.0,0.0,0.0,0.0
0.3448787983506918,100.0,0.0,0.0,0.0
0.6786600667983294,100.0,3.0,5.0,0.08191489361702131
1.0559532549232244,100.0,4.0,4.0,0.08191489361702131
1.3667374476790428,100.0,5.0,3.0,0.10936170212765961
1.7452866658568382,100.0,6.0,2.0,0.1368085106382979
2.0744335893541574,100.0,7.0,1.0,0.16404255319148942
2.407202120870352,100.0,8.0,0.0,0.19148936170212771
2.761469619348645,100.0,8.0,0.0,0.2161702127659575
3.093069838359952,100.0,8.0,0.0,0.2161702127659575
3.4785946384072304,100.0,8.0,0.0,0.21787234042553194
3.8358177542686462,100.0,8.0,0.0,0.13617021276595742
4.210324998944998,0.0,0.0,0.0,0.0
4.552401887252927,0.0,0.0,0.0,0.0
4.878248535096645,0.0,0.0,0.0,0.0
5.2110262252390385,0.0,0.0,0.0,0.0
5.558744454756379,0.0,0.0,0.0,0.0
5.941620023921132,0.0,0.0,0.0,0.0
6.300857666879892,0.0,0.0,0.0,0.0
6.6351880840957165,0.0,0.0,0.0,0.0
6.989625666290522,0.0,0.0,0.0,0.0
7.323136663064361,0.0,0.0,0.0,0.0
7.654894087463617,0.0,0.0,0.0,0.0
8.01494156382978,0.0,0.0,0.0,0.0
8.360022816807032,0.0,0.0,0.0,0.0
8.662878515198827,0.0,0.0,0.0,0.0
8.980177607387304,0.0,0.0,0.0,0.0
9.307395819574594,0.0,0.0,0.0,0.0
9.651563042774796,0.0,0.0,0.0,0.0
9.987710626795888,0.0,0.0,0.0,0.0
10.3115203268826,0.0,0.0,0.0,0.0
10.692227916792035,0.0,0.0,0.0,0.0
11.06893403083086,0.0,0.0,0.0,0.0
11.39893862977624,0.0,0.0,0.0,0.0
11.730687122792006,0.0,0.0,0.0,0.0
12.086475279182196,100.0,2.0,0.0,0.0753191489361702
12.459295522421598,100.0,5.0,1.0,0.18276595744680846
12.788278380408883,100.0,8.0,0.0,0.2904255319148936
13.116547148674726,100.0,8.0,0.0,0.3012765957446808
13.445519514381886,100.0,8.0,0.0,0.3012765957446808
13.830765157938004,100.0,8.0,0.0,0.30297872340425536
14.190277678892016,100.0,6.0,0.0,0.0
14.55210773460567,0.0,0.0,0.0,0.0
14.880178658291698,0.0,0.0,0.0,0.0
15.228909095749259,0.0,0.0,0.0,0.0
15.582205677405,0.0,0.0,0.0,0.0
15.914733447134495,0.0,0.0,0.0,0.0
16.26947310194373,0.0,0.0,0.0,0.0
16.62784601561725,0.0,0.0,0.0,0.0
16.954318510368466,0.0,0.0,0.0,0.0
17.282330103218555,0.0,0.0,0.0,0.0
17.64012474194169,0.0,0.0,0.0,0.0
17.967348743230104,0.0,0.0,0.0,0.0
18.30449579656124,0.0,0.0,0.0,0.0
18.636745171621442,0.0,0.0,0.0,0.0
18.974554715678096,0.0,0.0,0.0,0.0
19.345331327989697,0.0,0.0,0.0,0.0
19.72171612456441,0.0,0.0,0.0,0.0
20.05487742461264,0.0,0.0,0.0,0.0
20.386929903179407,0.0,0.0,0.0,0.0
20.72348603978753,0.0,0.0,0.0,0.0
21.10287686251104,0.0,0.0,0.0,0.0
21.453007554635406,0.0,0.0,0.0,0.0
21.833116771653295,0.0,0.0,0.0,0.0
22.164505595341325,0.0,0.0,0.0,0.0
22.535269543528557,100.0,2.0,0.0,0.2359574468085106
22.906832231208682,100.0,5.0,3.0,0.37553191489361704
23.235551511868834,100.0,8.0,0.0,0.37553191489361704
23.549065517261624,100.0,8.0,0.0,0.3863829787234042
23.885264633223414,100.0,8.0,0.0,0.3868085106382979
24.269136656075716,100.0,8.0,0.0,0.3880851063829788
24.647367456927896,86.0,1.0,0.0,0.0
25.02556824684143,0.0,0.0,0.0,0.0
25.35816439986229,0.0,0.0,0.0,0.0
25.665056690573692,0.0,0.0,0.0,0.0
25.972630824893713,0.0,0.0,0.0,0.0
26.280439427122474,0.0,0.0,0.0,0.0
26.60459529981017,0.0,0.0,0.0,0.0
26.972482211887836,0.0,0.0,0.0,0.0
27.29784831032157,0.0,0.0,0.0,0.0
27.605373131111264,0.0,0.0,0.0,0.0
27.936818478628993,0.0,0.0,0.0,0.0
28.24405741505325,0.0,0.0,0.0,0.0
28.568974275141954,0.0,0.0,0.0,0.0
28.87703826278448,0.0,0.0,0.0,0.0
29.243764530867338,0.0,0.0,0.0,0.0
29.607723768800497,0.0,0.0,0.0,0.0
29.914916519075632,0.0,0.0,0.0,0.0
30.222258027642965,0.0,0.0,0.0,0.0
30.551342863589525,0.0,0.0,0.0,0.0
30.858440605923533,0.0,0.0,0.0,0.0
31.224533788859844,0.0,0.0,0.0,0.0
31.592915223911405,0.0,0.0,0.0,0.0
31.960221715271473,0.0,0.0,0.0,0.0
32.285708794370294,0.0,0.0,0.0,0.0
32.66775275580585,100.0,0.0,0.0,0.11787234042553196
33.034346079453826,100.0,5.0,3.0,0.28914893617021276
33.509930934756994,100.0,8.0,0.0,0.46063829787234045
33.84103441052139,100.0,8.0,0.0,0.47148936170212763
34.173706598579884,100.0,8.0,0.0,0.47148936170212763
34.53030140325427,100.0,8.0,0.0,0.4731914893617021
34.88858179189265,0.0,8.0,0.0,0.0
35.54925622232258,0.0,0.0,0.0,0.0
35.880839083343744,0.0,0.0,0.0,0.0
36.20923747122288,0.0,0.0,0.0,0.0
36.549401234835386,0.0,0.0,0.0,0.0
36.91684290766716,0.0,0.0,0.0,0.0
37.24370924010873,0.0,0.0,0.0,0.0
37.57118804380298,0.0,0.0,0.0,0.0
37.92115256562829,0.0,0.0,0.0,0.0
38.29351641610265,0.0,0.0,0.0,0.0
38.62240981310606,0.0,0.0,0.0,0.0
38.93025807850063,0.0,0.0,0.0,0.0
39.27620909921825,0.0,0.0,0.0,0.0
39.604152377694845,0.0,0.0,0.0,0.0
39.931896578520536,0.0,0.0,0.0,0.0
40.25891722366214,0.0,0.0,0.0,0.0
40.626562947407365,0.0,0.0,0.0,0.0
40.95435728318989,0.0,0.0,0.0,0.0
41.28561929427087,0.0,0.0,0.0,0.0
41.61362865567207,0.0,0.0,0.0,0.0
41.919998371973634,0.0,0.0,0.0,0.0
42.22647364810109,0.0,0.0,0.0,0.0
42.561452247202396,0.0,0.0,0.0,0.0
42.929049510508776,0.0,0.0,0.0,0.0
43.25358827970922,100.0,2.0,0.0,0.13914893617021273
43.56147741340101,100.0,5.0,3.0,0.3423404255319149
43.868410190567374,100.0,8.0,0.0,0.5457446808510638
44.196059226989746,100.0,8.0,0.0,0.556595744680851
44.5231022965163,100.0,8.0,0.0,0.556595744680851
44.85874096304178,100.0,8.0,0.0,0.5570212765957447
45.196183359250426,100.0,8.0,0.0,0.5582978723404255
45.53289532288909,100.0,6.0,0.0,0.06978723404255316
45.87284849025309,0.0,0.0,0.0,0.0
46.20065904408693,0.0,0.0,0.0,0.0
46.525419468060136,0.0,0.0,0.0,0.0
46.86759495176375,0.0,0.0,0.0,0.0
47.216048795729876,0.0,0.0,0.0,0.0
47.542423978447914,0.0,0.0,0.0,0.0
47.892612082883716,0.0,0.0,0.0,0.0
48.21871072053909,0.0,0.0,0.0,0.0
48.56773422844708,0.0,0.0,0.0,0.0
48.893208015710115,0.0,0.0,0.0,0.0
49.20128084346652,0.0,0.0,0.0,0.0
49.530288103967905,0.0,0.0,0.0,0.0
49.86244052089751,0.0,0.0,0.0,0.0
50.21826131641865,0.0,0.0,0.0,0.0
50.56514599919319,0.0,0.0,0.0,0.0
50.93369919061661,0.0,0.0,0.0,0.0
51.24293064698577,0.0,0.0,0.0,0.0
51.571787148714066,0.0,0.0,0.0,0.0
51.901441007852554,0.0,0.0,0.0,0.0
52.23214498721063,0.0,0.0,0.0,0.0
52.581028463318944,0.0,0.0,0.0,0.0
52.910738818347454,0.0,0.0,0.0,0.0
53.21874897927046,0.0,0.0,0.0,0.0
53.55005184747279,90.0,0.0,0.0,0.0
53.91973225586116,100.0,5.0,3.0,0.39553191489361705
54.24930840358138,100.0,5.0,3.0,0.39553191489361705
54.60870430804789,100.0,8.0,0.0,0.6308510638297873
54.93765192106366,100.0,8.0,0.0,0.6417021276595745
55.247533328831196,100.0,8.0,0.0,0.6417021276595745
55.56685627065599,100.0,8.0,0.0,0.6434042553191489
55.90016058832407,100.0,8.0,0.0,0.6434042553191489
56.233255203813314,67.0,0.0,0.0,0.0
